new york, new york,2651,3535,4514,5854,7081,8431,9699,10899,12768,14114,15437,17160,19055,20260,20897,21481,22135,22804,23190,23938,24242,23557,23111,23406,20764,18992,19039,16158,14596,12072,8913,5493,1605
nassau, new york,542,687,826,1046,1304,1606,1914,2229,2642,2973,3335,3823,4286,4601,5027,4969,5542,5894,6145,6283,6359,6240,6150,6287,6206,6061,5589,5245,4726,4137,3539,2641,1577
westchester, new york,1021,1369,1649,2088,2523,2757,2982,3264,3488,3727,4005,4277,4532,4757,4842,4587,4838,4971,5017,4877,4869,4582,4270,4142,3958,3669,3298,2938,2507,2004,1489,676,0
suffolk, new york,424,568,699,864,1085,1349,1651,1920,2240,2545,2932,3413,3807,4382,4732,5056,5410,5914,6288,6094,6080,5971,6014,5958,6051,5692,5452,5102,4695,4285,3703,2984,1942
rockland, new york,137,161,265,345,434,587,697,803,926,1078,1228,1397,1579,1738,1830,1883,1996,1998,2078,2142,2123,2063,2090,1954,1867,1785,1570,1394,1175,932,671,341,33
orange, new york,142,180,228,268,324,388,438,504,546,605,688,821,933,1079,1182,1236,1284,1327,1377,1436,1443,1553,1559,1500,1556,1548,1360,1216,1032,1060,934,794,595
albany, new york,4,11,13,20,26,29,32,36,39,44,48,53,59,62,67,71,69,79,91,93,103,106,109,107,111,117,121,120,113,108,104,105,92
dutchess, new york,18,26,36,49,61,73,93,118,149,170,211,261,306,352,390,406,450,477,505,547,570,566,558,567,555,536,502,462,418,375,351,286,212
monroe, new york,13,21,25,35,41,53,59,68,70,101,126,141,155,164,168,169,180,189,197,201,204,198,191,198,180,174,163,146,134,118,87,47,14
erie, new york,31,40,42,71,82,107,140,150,169,196,207,242,266,350,379,394,418,446,447,441,443,437,442,435,438,447,386,381,311,268,225,183,101
onondaga, new york,8,10,17,28,32,40,57,69,76,86,94,101,110,114,119,123,130,124,128,125,132,126,122,120,107,105,92,84,68,53,37,18,0
saratoga, new york,0,6,10,13,16,21,23,24,24,29,32,35,35,38,37,38,36,37,38,38,38,38,41,39,35,32,27,23,18,21,15,7,0
schenectady, new york,0,4,7,9,10,12,13,14,16,19,22,22,24,26,30,32,30,34,41,42,42,42,49,46,45,60,51,46,40,49,48,47,41
putnam, new york,0,18,19,22,28,35,40,48,48,62,65,72,83,94,105,125,121,131,139,139,139,136,162,162,150,179,165,157,143,143,123,116,90
rensselaer, new york,0,5,5,9,9,11,11,11,12,12,14,16,16,18,17,21,18,21,18,18,16,19,25,25,22,25,26,31,29,26,24,24,18
ulster, new york,0,6,16,21,28,40,45,60,66,69,75,83,92,116,124,129,146,138,159,175,187,205,188,187,214,217,202,216,195,188,189,172,171
columbia, new york,0,0,0,2,3,3,3,5,5,7,8,9,11,14,14,14,15,16,15,14,13,14,12,14,12,11,10,9,6,7,5,3,0
tompkins, new york,0,0,1,3,6,12,15,20,21,22,23,25,27,28,30,30,30,30,29,27,25,23,19,20,18,15,9,5,0,0,0,0,0
sullivan, new york,0,4,10,15,19,22,28,33,34,39,44,52,61,61,81,86,93,89,94,99,103,106,112,109,106,122,120,112,111,103,99,92,86
niagara, new york,0,0,1,2,5,8,10,11,11,13,29,30,32,37,38,39,49,46,46,48,55,53,60,61,59,46,45,46,39,39,35,16,14
oneida, new york,1,3,3,4,4,8,9,12,12,17,21,24,27,31,33,39,40,51,55,58,60,63,67,73,68,70,67,65,61,60,55,51,41
ontario, new york,0,1,2,3,4,5,6,7,7,8,9,10,11,11,11,11,13,14,16,17,17,16,16,16,16,15,15,14,13,13,11,8,6
clinton, new york,0,1,2,2,2,2,2,3,4,5,5,7,7,8,9,9,9,8,9,7,7,6,5,3,2,2,1,1,0,0,0,0,0
