new york, new york,1589,1299,989
nassau, new york,320,194,61
westchester, new york,0,0,0
suffolk, new york,358,244,123
rockland, new york,0,0,0
orange, new york,100,75,49
albany, new york,23,23,23
dutchess, new york,41,29,15
monroe, new york,11,9,6
erie, new york,34,26,17
onondaga, new york,0,0,0
saratoga, new york,0,0,0
schenectady, new york,12,13,14
putnam, new york,20,19,18
rensselaer, new york,6,7,8
ulster, new york,32,29,27
columbia, new york,1,1,1
tompkins, new york,0,0,0
sullivan, new york,18,17,16
niagara, new york,7,6,5
oneida, new york,12,11,10
ontario, new york,0,0,0
clinton, new york,0,0,0
herkimer, new york,1,1,1
broome, new york,8,8,8
montgomery, new york,1,1,1
essex, new york,1,1,1
wayne, new york,0,0,0
greene, new york,4,4,4
allegany, new york,0,0,0
wyoming, new york,0,0,0
hamilton, new york,0,0,0
chenango, new york,0,0,0
steuben, new york,9,9,9
livingston, new york,0,0,0
cortland, new york,0,0,0
delaware, new york,1,1,1
tioga, new york,2,2,2
genesee, new york,7,7,7
warren, new york,6,6,6
washington, new york,4,4,5
schoharie, new york,0,0,0
fulton, new york,1,1,1
jefferson, new york,0,0,0
king, washington,0,0,0
snohomish, washington,0,0,0
pierce, washington,4,1,0
skagit, washington,0,0,0
island, washington,0,0,0
spokane, washington,0,0,0
grant, washington,0,0,0
kitsap, washington,0,0,0
yakima, washington,30,29,28
whatcom, washington,0,0,0
thurston, washington,0,0,0
clark, washington,0,0,0
benton, washington,15,17,19
jefferson, washington,0,0,0
kittitas, washington,0,0,0
klickitat, washington,0,0,0
clallam, washington,0,0,0
cowlitz, washington,0,0,0
chelan, washington,3,3,4
franklin, washington,23,26,28
lewis, washington,0,0,0
grays harbor, washington,0,0,0
columbia, washington,0,0,0
lincoln, washington,0,0,0
mason, washington,0,0,0
stevens, washington,0,0,0
san juan, washington,0,0,0
whitman, washington,0,0,0
bergen, new jersey,218,171,122
essex, new jersey,367,336,302
monmouth, new jersey,61,44,26
middlesex, new jersey,353,338,321
hudson, new jersey,513,495,476
union, new jersey,442,420,397
morris, new jersey,123,111,97
ocean, new jersey,115,103,91
passaic, new jersey,375,362,347
somerset, new jersey,103,99,93
mercer, new jersey,167,168,169
burlington, new jersey,94,93,93
camden, new jersey,155,158,161
hunterdon, new jersey,7,5,3
sussex, new jersey,23,22,21
warren, new jersey,34,34,34
gloucester, new jersey,39,38,37
atlantic, new jersey,33,34,35
cape may, new jersey,11,10,9
cumberland, new jersey,30,31,32
salem, new jersey,9,9,10
los angeles, california,676,724,774
santa clara, california,0,0,0
san diego, california,36,32,28
san mateo, california,0,0,0
san francisco, california,10,7,5
orange, california,9,7,4
alameda, california,21,19,16
contra costa, california,8,6,5
sacramento, california,11,7,2
marin, california,0,0,0
san joaquin, california,8,9,9
riverside, california,156,152,149
san luis obispo, california,0,0,0
ventura, california,4,3,2
sonoma, california,0,0,0
san bernardino, california,82,81,80
santa cruz, california,0,0,0
solano, california,4,3,3
santa barbara, california,13,13,12
placer, california,0,0,0
tulare, california,25,23,22
monterey, california,4,5,5
yolo, california,7,7,7
fresno, california,18,18,18
imperial, california,10,11,12
san benito, california,0,0,0
stanislaus, california,11,11,11
kern, california,29,27,25
madera, california,0,0,0
humboldt, california,0,0,0
calaveras, california,0,0,0
siskiyou, california,0,0,0
yuba, california,0,0,0
shasta, california,0,0,0
nevada, california,0,0,0
mendocino, california,0,0,0
amador, california,0,0,0
mono, california,0,0,0
butte, california,0,0,0
napa, california,1,1,1
cook, illinois,1020,1018,1013
dupage, illinois,80,79,78
lake, illinois,97,95,92
will, illinois,65,59,51
kane, illinois,37,40,42
mchenry, illinois,17,17,17
mclean, illinois,0,0,0
sangamon, illinois,2,2,2
winnebago, illinois,19,20,22
kendall, illinois,6,6,6
st. clair, illinois,15,15,15
clinton, illinois,3,3,2
peoria, illinois,2,2,2
woodford, illinois,0,0,0
madison, illinois,15,16,16
kankakee, illinois,11,9,7
champaign, illinois,0,0,0
cumberland, illinois,0,0,0
whiteside, illinois,2,2,2
jackson, illinois,3,3,2
williamson, illinois,1,1,1
lasalle, illinois,2,2,2
washington, illinois,1,1,1
adams, illinois,3,2,2
christian, illinois,0,0,0
dekalb, illinois,2,1,1
jo daviess, illinois,0,0,0
stephenson, illinois,1,1,1
livingston, illinois,0,0,0
rock island, illinois,19,20,21
wayne, michigan,7,0,0
oakland, michigan,45,15,0
macomb, michigan,92,71,49
washtenaw, michigan,0,0,0
kent, michigan,54,61,68
genesee, michigan,38,33,27
ingham, michigan,4,4,3
livingston, michigan,4,3,2
st. clair, michigan,9,8,6
monroe, michigan,3,2,0
ottawa, michigan,7,9,10
midland, michigan,2,2,1
berrien, michigan,6,6,6
charlevoix, michigan,0,0,0
clinton, michigan,0,0,0
eaton, michigan,1,1,1
calhoun, michigan,10,11,11
saginaw, michigan,25,25,24
montcalm, michigan,0,0,0
bay, michigan,5,5,4
leelanau, michigan,1,1,1
otsego, michigan,3,4,4
jackson, michigan,12,12,12
barry, michigan,2,2,2
wexford, michigan,0,0,0
clare, michigan,1,1,1
allegan, michigan,4,4,4
tuscola, michigan,4,3,3
gladwin, michigan,0,0,0
emmet, michigan,0,0,0
grand traverse, michigan,0,0,0
roscommon, michigan,0,0,0
miami-dade, florida,243,205,165
