Hospital Name,City,Staffed Beds,Total Discharges,Patient Days,State
Alaska Native Medical Center,Anchorage,174,"8,376","38,396",Alaska
Alaska Regional Hospital,Anchorage,174,"6,388","34,726",Alaska
Bartlett Regional Hospital,Juneau,57,"1,647","6,733",Alaska
Central Peninsula General Hospital,Soldotna,109,"2,525","9,823",Alaska
Foundation Health Partners Fairbanks Memorial Hospital,Fairbanks,212,"4,467","20,829",Alaska
JBER Elmendorf Air Force Base Hospital,Elmendorf Air Force Base,0,0,0,Alaska
Mat-Su Regional Medical Center,Palmer,74,"4,324","17,811",Alaska
Providence Alaska Medical Center,Anchorage,401,"15,660","109,991",Alaska
The Children's Hospital at Providence,Anchorage,0,0,0,Alaska
Yukon-Kuskokwim Delta Regional Hospital,Bethel,34,"1,822","4,963",Alaska
Floyd Cherokee Medical Center,Centre,45,604,"2,457",Alabama
RMC Stringfellow Memorial Hospital,Anniston,125,"2,574","10,142",Alabama
Andalusia Health,Andalusia,83,"2,882","10,810",Alabama
Athens-Limestone Hospital,Athens,66,"4,144","13,306",Alabama
Atmore Community Hospital,Atmore,49,"1,325","4,364",Alabama
Baptist Medical Center East,Montgomery,207,"14,510","53,341",Alabama
Baptist Medical Center South,Montgomery,380,"17,309","84,119",Alabama
Bibb Medical Center,Centreville,156,315,"1,204",Alabama
Birmingham VA Medical Center,Birmingham,0,0,0,Alabama
Brookwood Baptist Medical Center,Birmingham,595,"15,775","76,452",Alabama
Bryan W. Whitfield Memorial Hospital,Demopolis,57,"1,249","4,831",Alabama
Bullock County Hospital,Union Springs,54,473,"2,331",Alabama
Central Alabama Veterans Health Care System - East Campus,Tuskegee,0,0,0,Alabama
Central Alabama Veterans Health Care System - West Campus,Montgomery,0,0,0,Alabama
Citizens Baptist Medical Center,Talladega,98,"1,916","6,564",Alabama
Clay County Hospital,Ashland,129,"1,027","4,285",Alabama
Community Hospital,Tallassee,47,874,"3,458",Alabama
Coosa Valley Medical Center,Sylacauga,222,"3,254","14,065",Alabama
Crenshaw Community Hospital,Luverne,49,314,"1,323",Alabama
Crestwood Medical Center,Huntsville,183,"10,985","40,916",Alabama
Cullman Regional Medical Center,Cullman,145,"7,771","26,895",Alabama
D.W. McMillan Memorial Hospital,Brewton,46,"1,514","6,058",Alabama
Dale Medical Center,Ozark,89,"1,290","7,841",Alabama
DCH Regional Medical Center,Tuscaloosa,593,"31,725","143,290",Alabama
Decatur Morgan Hospital,Decatur,264,"8,787","41,331",Alabama
Decatur Morgan Hospital-Parkway Campus,Decatur,120,"1,560","5,928",Alabama
