state,05-04-2020,05-03-2020,05-02-2020,05-01-2020,04-30-2020,04-29-2020,04-28-2020
new york,2538,3434,4665,3942,4681,4586,3111
washington,290,219,344,294,272,232,180
new jersey,1519,3062,2434,2433,2527,2509,2768
california,980,1556,1321,1885,1381,2583,1213
illinois,2297,2975,2500,3121,2498,2231,2202
michigan,206,598,592,892,790,931,1012
florida,7,806,554,733,1030,497,351
louisiana,326,190,433,714,353,373,223
massachusetts,1319,1220,1972,2124,1982,2131,2010
texas,750,1065,1195,958,1458,858,1084
georgia,750,322,847,851,729,836,708
colorado,283,394,429,466,513,463,448
pennsylvania,1588,733,907,1608,1646,1191,1579
tennessee,336,508,683,1197,360,342,186
wisconsin,261,301,342,453,334,227,214
ohio,553,573,563,748,721,524,437
connecticut,635,0,582,1155,978,439,308
north carolina,191,177,505,307,565,417,440
maryland,940,978,1014,1735,900,736,626
virginia,775,917,823,1074,855,628,812
mississippi,316,116,222,394,249,232,252
indiana,572,635,658,808,658,590,624
south carolina,131,138,235,159,212,149,124
nevada,152,83,141,195,119,113,113
utah,134,182,149,147,162,146,107
minnesota,481,376,467,446,358,322,281
arkansas,50,63,34,50,140,59,38
oregon,76,41,54,68,59,57,30
alabama,219,247,312,234,175,168,218
arizona,284,276,396,314,446,254,230
kentucky,118,228,7,149,153,169,206
missouri,282,294,275,237,168,213,144
iowa,547,486,707,679,304,460,518
maine,18,33,30,29,41,15,16
rhode island,128,244,289,325,354,522,112
new hampshire,26,101,105,150,107,46,75
oklahoma,71,105,100,108,143,96,124
kansas,166,257,234,212,508,152,122
new mexico,179,117,216,104,198,235,151
hawaii,1,1,1,1,4,3,2
delaware,79,169,122,185,80,86,392
vermont,5,10,7,13,4,0,7
nebraska,227,276,250,443,292,324,72
idaho,44,0,47,31,30,1,57
montana,2,0,2,0,1,0,2
north dakota,34,37,43,38,32,41,49
wyoming,10,7,14,7,14,8,15
south dakota,37,42,59,71,75,58,63
alaska,2,3,1,9,0,4,5
west virginia,25,10,28,21,12,14,29
district of columbia,154,219,139,335,217,112,102
