new york,new york,7723,8755,8737,9881,10278,11293,11838,12761,13222,14914,14784,16456,16774,18658,18191,19527,19009,20427,19939,21081,20983,21630,20476,21369,21162,18969,19600,19427,16876,17992,14500,16167,10364,14334,6152,9273
nassau,new york,1520,1737,1687,1897,1939,2193,2285,2547,2645,3020,3027,3433,3587,3962,3954,4449,3946,5119,4378,5439,4570,5563,4492,5517,4702,5488,4595,5048,4293,4562,3724,4055,2995,3196,2003,2299
westchester,new york,1498,1906,1896,2226,2397,2723,2665,2981,2988,3237,3262,3559,3573,3851,3830,3964,3575,4294,3764,4394,3657,4416,3393,4125,3303,3985,3046,3649,2717,3243,2231,3001,1717,2368,817,1659
suffolk,new york,827,993,993,1143,1181,1397,1482,1743,1789,2109,2139,2553,2690,3007,3353,3410,3746,3836,4340,4286,4146,4303,4073,4398,4059,4555,3711,4370,3398,4025,3017,3349,2465,2638,1569,1934
rockland,new york,364,419,392,538,484,640,659,765,780,906,955,1078,1151,1290,1333,1401,1401,1535,1415,1638,1497,1631,1449,1676,1320,1602,1250,1396,1083,1182,846,996,563,787,196,410
orange,new york,198,255,242,310,287,374,361,432,436,480,505,575,658,705,826,825,895,885,950,946,1025,962,1163,980,1104,1058,1108,870,964,686,1018,567,834,474,642,237
albany,new york,98,100,106,102,114,108,117,111,122,115,128,119,134,126,137,132,142,130,154,144,157,156,161,161,159,166,167,172,167,165,163,168,160,170,143,167
dutchess,new york,66,72,76,84,91,98,105,121,134,157,158,204,215,256,268,300,288,352,320,385,369,413,367,407,382,396,366,365,328,323,287,308,233,253,162,160
monroe,new york,54,58,63,63,74,70,88,77,98,80,134,108,151,124,161,129,163,143,174,153,180,157,176,152,185,136,181,127,165,116,150,102,120,89,87,69
erie,new york,45,57,56,59,89,72,117,110,129,132,160,145,201,172,297,205,316,234,349,238,344,243,342,252,339,262,352,201,356,131,318,83,319,54,280,0
onondaga,new york,36,39,38,47,50,52,59,71,73,79,84,88,92,98,97,103,102,111,96,116,93,125,88,122,87,110,86,97,80,82,65,75,47,71,20,56
saratoga,new york,28,28,35,32,39,36,45,38,47,38,53,42,57,42,61,41,62,39,63,41,63,41,64,45,62,41,59,36,56,31,60,27,52,23,43,17
schenectady,new york,26,26,31,30,34,32,36,34,38,36,41,39,41,42,44,46,47,45,51,53,52,54,53,62,50,61,68,52,63,46,74,48,69,44,60,42
putnam,new york,25,25,45,26,49,33,57,38,66,38,82,42,91,54,103,66,126,63,137,73,137,73,134,105,134,92,168,78,163,64,164,46,150,28,121,22
rensselaer,new york,16,16,21,16,25,16,28,16,28,17,28,19,31,19,33,18,38,15,42,12,42,10,46,18,46,15,49,17,55,15,52,15,49,12,47,12
ulster,new york,14,14,21,26,26,34,40,39,58,46,62,53,71,63,98,73,104,93,96,117,115,132,136,115,137,147,142,132,160,113,154,101,122,104,92,69
columbia,new york,14,14,14,14,16,15,16,15,18,15,20,17,22,19,26,19,26,20,28,19,27,18,28,16,30,14,29,13,28,10,30,8,28,7,25,3
tompkins,new york,12,12,12,13,14,17,20,20,26,21,27,23,30,25,31,28,31,29,31,28,29,26,27,22,28,20,25,14,21,10,19,7,14,4,9,2
sullivan,new york,10,10,14,16,20,20,23,26,28,27,34,33,43,43,43,66,49,74,45,80,51,85,55,93,53,91,72,90,64,91,57,81,41,90,30,85
niagara,new york,7,7,7,8,8,12,12,14,13,14,15,32,16,35,22,37,24,48,21,48,23,56,21,64,23,62,10,62,12,56,12,54,2,64,2,61
oneida,new york,3,3,5,3,6,3,10,4,13,4,19,8,23,12,28,14,35,16,48,21,52,24,56,29,63,24,65,22,63,18,62,16,59,7,54,4
ontario,new york,3,3,4,4,5,5,6,6,7,6,9,7,10,8,10,8,10,10,11,13,12,13,12,14,12,14,12,14,11,13,11,11,8,2,3,0
clinton,new york,3,3,4,5,4,5,4,5,6,7,8,7,10,7,11,8,11,8,10,9,8,9,7,8,5,7,5,6,5,4,5,3,3,2,1,0
herkimer,new york,2,2,2,2,3,3,2,3,3,3,3,4,3,5,5,6,6,7,7,8,7,8,7,8,7,9,7,10,6,8,5,8,5,8,3,7
broome,new york,2,2,4,2,6,3,7,5,9,6,11,7,15,11,17,13,20,14,24,16,26,18,26,20,28,24,31,23,28,22,27,24,22,19,17,17
montgomery,new york,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,3,8,3,8,3,8,4,8,4,8,4,8,3,9,2,9,0,8,0
essex,new york,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,3,4,3,4,3,4,2,5,2,6,2,6,2,6,2,6,1
wayne,new york,2,2,3,2,3,3,3,3,4,3,8,4,9,4,10,5,10,6,10,7,10,7,10,8,10,6,8,5,8,4,8,1,6,0,4,0
greene,new york,2,2,3,2,3,2,3,2,4,2,7,3,8,3,8,3,8,3,10,4,11,7,11,14,14,12,14,13,14,13,14,11,14,5,13,5
allegany,new york,2,2,2,2,2,2,2,4,2,4,2,5,3,6,3,6,3,8,3,10,3,10,2,11,2,11,2,11,0,11,0,11,0,10,0,10
wyoming,new york,2,1,3,1,4,1,4,1,4,1,5,3,5,4,7,4,7,5,8,5,8,5,8,5,10,4,10,4,8,3,7,2,5,1,4,0
hamilton,new york,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
chenango,new york,2,2,2,2,2,2,4,5,5,6,8,7,10,10,12,11,14,12,15,14,15,14,14,14,15,13,15,11,12,10,11,7,10,5,6,3
steuben,new york,2,3,4,3,5,3,5,5,6,5,14,7,15,13,19,11,18,14,20,23,20,32,18,27,20,21,18,28,11,28,10,32,1,29,0,27
livingston,new york,2,2,2,2,2,2,5,2,6,3,7,2,7,2,9,2,8,4,8,4,8,4,7,3,7,2,7,1,8,0,7,0,4,1,3,0
cortland,new york,2,2,2,2,2,2,3,2,4,2,4,2,5,2,5,2,6,2,6,2,6,3,6,3,6,3,6,2,6,1,6,0,5,0,4,0
delaware,new york,1,1,2,2,3,2,3,2,4,4,6,5,6,6,6,7,9,7,8,7,8,6,9,6,8,5,8,4,7,3,10,0,9,0,7,0
tioga,new york,1,1,1,1,1,1,3,1,3,1,3,1,3,1,3,1,3,4,4,4,4,5,4,5,4,6,5,6,6,7,6,8,0,7,0,6
genesee,new york,1,1,1,1,2,2,2,3,2,3,3,4,3,5,4,5,8,11,11,14,11,15,11,17,9,17,10,18,21,18,21,15,18,12,18,13
warren,new york,1,1,1,1,1,3,3,5,3,5,3,5,3,5,5,5,7,6,10,7,9,7,9,18,9,20,12,20,11,21,11,21,14,19,15,20
washington,new york,1,1,2,1,2,2,3,2,3,2,4,2,5,2,5,2,5,2,7,2,8,2,9,3,9,4,9,4,13,4,14,5,16,4,17,4
schoharie,new york,1,1,1,1,1,1,2,1,2,1,3,1,4,1,4,1,4,1,4,1,4,0,4,3,4,2,4,1,4,0,4,0,4,0,4,0
fulton,new york,1,1,1,1,1,1,1,1,1,1,1,3,1,4,1,5,2,5,2,6,3,6,3,6,4,6,4,6,3,6,2,6,1,6,0,6
jefferson,new york,1,1,1,1,2,1,3,1,5,1,5,2,6,3,8,6,10,6,11,6,11,6,11,5,11,5,11,4,12,2,10,0,9,0,7,0
king,washington,832,874,832,938,913,938,1091,967,1089,1030,1089,1140,1133,1173,1234,1227,1258,1298,1279,1326,1334,1263,1283,1312,1218,1289,1208,1106,1261,995,1166,986,968,894,890,704
snohomish,washington,384,399,418,407,474,457,474,457,536,513,560,541,559,589,579,599,589,590,605,577,582,589,586,544,556,503,513,506,479,456,403,399,378,389,274,324
pierce,washington,86,94,91,100,102,117,102,151,102,175,102,223,131,242,157,252,168,261,180,267,188,270,177,267,168,265,152,241,137,237,118,219,77,174,51,125
skagit,washington,26,26,30,27,42,27,47,29,48,37,51,42,55,45,55,45,57,42,57,37,59,35,59,33,54,29,54,26,52,26,42,24,43,20,36,12
island,washington,17,19,17,24,27,24,33,29,38,28,39,30,40,31,43,35,42,36,42,30,43,26,39,24,36,17,36,11,33,3,24,3,18,0,15,0
spokane,washington,16,16,20,18,34,24,42,24,52,24,60,34,63,38,66,38,66,42,67,33,63,37,64,28,62,17,57,11,53,3,43,0,29,0,15,0
grant,washington,14,16,14,18,16,20,18,22,22,24,22,28,23,28,23,31,22,33,21,34,23,35,23,34,21,35,19,35,18,31,14,31,9,29,5,24
kitsap,washington,14,14,14,15,19,15,22,18,24,25,24,29,29,31,31,31,36,31,36,30,37,29,35,28,30,25,29,20,27,17,19,14,16,9,12,2
yakima,washington,13,13,17,21,22,23,28,46,30,52,30,75,36,94,49,106,56,108,63,110,87,115,74,139,70,153,66,162,54,159,50,162,24,152,14,127
