new york,new york,886,476,39
nassau,new york,235,111,0
westchester,new york,0,0,0
suffolk,new york,301,193,78
rockland,new york,0,0,0
orange,new york,62,33,1
albany,new york,22,22,22
dutchess,new york,37,25,13
monroe,new york,11,9,6
erie,new york,44,40,35
onondaga,new york,0,0,0
saratoga,new york,0,0,0
schenectady,new york,11,11,11
putnam,new york,16,14,11
rensselaer,new york,6,6,6
ulster,new york,26,22,19
columbia,new york,1,1,1
tompkins,new york,0,0,0
sullivan,new york,15,13,11
niagara,new york,9,9,8
oneida,new york,12,11,10
ontario,new york,0,0,0
clinton,new york,0,0,0
herkimer,new york,1,1,1
broome,new york,8,7,7
montgomery,new york,1,1,1
essex,new york,1,1,1
wayne,new york,0,0,0
greene,new york,4,4,3
allegany,new york,0,0,0
wyoming,new york,0,0,0
hamilton,new york,0,0,0
chenango,new york,0,0,0
steuben,new york,8,8,7
livingston,new york,0,0,0
cortland,new york,0,0,0
delaware,new york,1,0,0
tioga,new york,2,2,2
genesee,new york,7,7,7
warren,new york,7,7,7
washington,new york,5,5,5
schoharie,new york,0,0,0
fulton,new york,1,1,1
jefferson,new york,0,0,0
king,washington,0,0,0
snohomish,washington,0,0,0
pierce,washington,0,0,0
skagit,washington,0,0,0
island,washington,0,0,0
spokane,washington,0,0,0
grant,washington,0,0,0
kitsap,washington,0,0,0
yakima,washington,25,23,21
whatcom,washington,0,0,0
thurston,washington,0,0,0
clark,washington,0,0,0
benton,washington,13,14,15
jefferson,washington,0,0,0
kittitas,washington,0,0,0
klickitat,washington,0,0,0
clallam,washington,0,0,0
cowlitz,washington,0,0,0
chelan,washington,3,3,3
franklin,washington,21,23,24
lewis,washington,0,0,0
grays harbor,washington,0,0,0
columbia,washington,0,0,0
lincoln,washington,0,0,0
mason,washington,0,0,0
stevens,washington,0,0,0
san juan,washington,0,0,0
whitman,washington,0,0,0
bergen,new jersey,193,149,101
essex,new jersey,355,326,295
monmouth,new jersey,54,39,23
middlesex,new jersey,362,352,339
hudson,new jersey,517,503,486
union,new jersey,436,416,395
morris,new jersey,114,101,87
ocean,new jersey,114,104,94
passaic,new jersey,382,372,361
somerset,new jersey,102,97,92
mercer,new jersey,168,168,169
burlington,new jersey,94,94,93
camden,new jersey,159,162,165
hunterdon,new jersey,8,7,6
sussex,new jersey,25,24,23
warren,new jersey,34,34,33
gloucester,new jersey,39,38,38
atlantic,new jersey,35,36,37
cape may,new jersey,11,10,9
cumberland,new jersey,33,34,36
salem,new jersey,12,13,14
los angeles,california,733,785,839
santa clara,california,0,0,0
san diego,california,44,43,42
san mateo,california,0,0,0
san francisco,california,13,12,11
orange,california,11,9,8
alameda,california,29,29,30
contra costa,california,5,3,2
sacramento,california,8,4,0
marin,california,0,0,0
san joaquin,california,10,10,11
riverside,california,171,171,172
san luis obispo,california,0,0,0
ventura,california,5,4,3
sonoma,california,0,0,0
san bernardino,california,88,89,89
santa cruz,california,0,0,0
solano,california,4,4,3
santa barbara,california,14,13,13
placer,california,0,0,0
tulare,california,23,22,20
monterey,california,4,4,5
yolo,california,7,7,6
fresno,california,22,23,24
imperial,california,14,16,17
san benito,california,0,0,0
stanislaus,california,12,12,12
kern,california,27,24,22
madera,california,0,0,0
humboldt,california,0,0,0
calaveras,california,1,1,1
siskiyou,california,0,0,0
yuba,california,0,0,0
shasta,california,0,0,0
nevada,california,0,0,0
mendocino,california,0,0,0
amador,california,0,0,0
mono,california,0,0,0
butte,california,0,0,0
napa,california,1,1,1
cook,illinois,1045,1047,1048
dupage,illinois,82,81,81
lake,illinois,104,104,103
will,illinois,63,56,50
kane,illinois,46,50,55
mchenry,illinois,18,18,18
mclean,illinois,0,0,0
sangamon,illinois,3,3,3
winnebago,illinois,19,21,22
kendall,illinois,7,7,7
st. clair,illinois,15,15,15
clinton,illinois,3,2,2
peoria,illinois,3,3,4
woodford,illinois,0,0,0
madison,illinois,15,15,15
